order,id,date,time,title,url,visitCount,typedCount,transition
127,1384,6/5/2025,23:48:16,🎓Data Streaming with Kafka — Школа цілісного розвитку УКУ,https://study.ucu.edu.ua/course/data-streaming-with-kafka/quiz/investigation-of-kafka-cli-tools,5,0,link
128,2168,6/5/2025,23:47:55,🎓Data Streaming with Kafka — Школа цілісного розвитку УКУ,https://study.ucu.edu.ua/course/data-streaming-with-kafka/quiz/project-selection-and-submission,1,0,link
129,2167,6/5/2025,23:47:45,🎓Data Streaming with Kafka — Школа цілісного розвитку УКУ,https://study.ucu.edu.ua/course/data-streaming-with-kafka/lesson/examples,1,0,link
130,2166,6/5/2025,23:47:40,🎓Data Streaming with Kafka — Школа цілісного розвитку УКУ,https://study.ucu.edu.ua/course/data-streaming-with-kafka/quiz/introduction-into-kafka-streams,3,0,link
131,2165,6/5/2025,23:47:25,🎓Data Streaming with Kafka — Школа цілісного розвитку УКУ,https://study.ucu.edu.ua/course/data-streaming-with-kafka/quiz/investigation-of-kafka-throughput,3,0,link
132,1384,6/5/2025,23:46:55,🎓Data Streaming with Kafka — Школа цілісного розвитку УКУ,https://study.ucu.edu.ua/course/data-streaming-with-kafka/quiz/investigation-of-kafka-cli-tools,5,0,link
133,2159,6/5/2025,23:46:28,🎓Data Streaming with Kafka — Школа цілісного розвитку УКУ,https://study.ucu.edu.ua/course/data-streaming-with-kafka/lesson/lesson-3,2,0,link
134,2164,6/5/2025,23:18:55,1 notification,https://web.telegram.org/a/#-1001433922609_9776370,1,0,link
135,237,6/5/2025,23:18:55,STERNENKO,https://web.telegram.org/a/#-1001220606936,10,0,link
136,237,6/5/2025,23:18:29,STERNENKO,https://web.telegram.org/a/#-1001220606936,10,0,link
137,237,6/5/2025,23:18:01,STERNENKO,https://web.telegram.org/a/#-1001220606936,10,0,link
138,70,6/5/2025,23:16:28,✙ 🔼Вертикаль,https://web.telegram.org/a/#-1001234886121,31,0,link
139,195,6/5/2025,23:15:58,Офіцер,https://web.telegram.org/a/#-1001632127793,13,0,link
140,69,6/5/2025,23:14:22,NV | nv.ua | Радіо NV | Новини України | Аналітика | Відео | НВ |,https://web.telegram.org/a/#-1001081358729,57,0,link
141,1378,6/5/2025,23:14:10,МАДЯР🇺🇦,https://web.telegram.org/a/#-1001680956281,10,0,link
142,196,6/5/2025,23:14:00,БУТУСОВ ПЛЮС,https://web.telegram.org/a/#-1001595772204,28,0,link
143,378,6/5/2025,23:13:54,Про зв'язок від Сергія Флеш,https://web.telegram.org/a/#-1001836374264,18,0,link
144,2163,6/5/2025,23:11:18,Spectrozir | PRO версія,https://spectrozir.com/pro,1,0,link
145,2162,6/5/2025,23:07:15,Spectrozir - простий аналізатор радіочастотного спектра,https://spectrozir.com/,1,0,link
